Timestamp,Gx,Gy,Gz,Servo_Angle,Speed
2026-05-26 21:36:19.475,0.366,0.244,0.915,120.0,-14.125
2026-05-26 21:36:19.542,0.366,0.244,0.915,120.0,-13.493
2026-05-26 21:36:19.554,0.366,0.244,0.915,120.0,-13.704
2026-05-26 21:36:19.570,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:19.644,0.366,0.244,0.915,120.0,-13.282
2026-05-26 21:36:19.664,0.366,0.244,0.915,120.0,-13.493
2026-05-26 21:36:19.680,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:19.769,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:19.788,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:19.805,0.366,0.244,0.915,120.0,-11.806
2026-05-26 21:36:19.872,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:19.882,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:19.898,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:19.959,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:19.976,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:20.084,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:20.101,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:20.117,0.366,0.244,0.915,120.0,-13.704
2026-05-26 21:36:20.185,0.366,0.244,0.915,120.0,-14.547
2026-05-26 21:36:20.196,0.366,0.244,0.915,120.0,-14.758
2026-05-26 21:36:20.211,0.366,0.244,0.915,120.0,-14.547
2026-05-26 21:36:20.294,0.366,0.244,0.915,120.0,-14.336
2026-05-26 21:36:20.306,0.366,0.244,0.915,120.0,-14.336
2026-05-26 21:36:20.322,0.366,0.244,0.915,120.0,-14.336
2026-05-26 21:36:20.386,0.366,0.244,0.915,120.0,-14.336
2026-05-26 21:36:20.401,0.366,0.244,0.915,120.0,-14.336
2026-05-26 21:36:20.417,0.366,0.244,0.915,120.0,-13.704
2026-05-26 21:36:20.487,0.366,0.244,0.915,120.0,-14.125
2026-05-26 21:36:20.510,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:20.526,0.366,0.244,0.915,120.0,-11.806
2026-05-26 21:36:20.587,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:20.603,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:20.619,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:20.712,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:20.729,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:20.816,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:20.838,0.366,0.244,0.915,120.0,-11.595
2026-05-26 21:36:20.854,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:20.916,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:20.933,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:20.949,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:21.017,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:21.041,0.366,0.244,0.915,120.0,-13.282
2026-05-26 21:36:21.057,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:21.116,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:21.136,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:21.151,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:21.221,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:21.244,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:21.260,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:21.347,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:21.368,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:21.384,0.366,0.244,0.915,120.0,-11.806
2026-05-26 21:36:21.443,0.366,0.244,0.915,120.0,-11.174
2026-05-26 21:36:21.454,0.366,0.244,0.915,120.0,-11.806
2026-05-26 21:36:21.543,0.366,0.244,0.915,120.0,-11.384
2026-05-26 21:36:21.554,0.366,0.244,0.915,120.0,-11.384
2026-05-26 21:36:21.565,0.366,0.244,0.915,120.0,-11.595
2026-05-26 21:36:21.670,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:21.696,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:21.711,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:21.770,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:21.789,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:21.805,0.366,0.244,0.915,120.0,-13.282
2026-05-26 21:36:21.872,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:21.883,0.366,0.244,0.915,120.0,-13.704
2026-05-26 21:36:21.899,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:21.971,0.366,0.244,0.915,120.0,-13.914
2026-05-26 21:36:21.992,0.366,0.244,0.915,120.0,-13.493
2026-05-26 21:36:22.008,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:22.077,0.366,0.244,0.915,120.0,-13.704
2026-05-26 21:36:22.102,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:22.117,0.366,0.244,0.915,120.0,-13.493
2026-05-26 21:36:22.172,0.366,0.244,0.915,120.0,-13.914
2026-05-26 21:36:22.194,0.366,0.244,0.915,120.0,-13.282
2026-05-26 21:36:22.281,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:22.303,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:22.319,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:22.381,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:22.397,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:22.412,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:22.489,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:22.507,0.366,0.244,0.915,120.0,-10.963
2026-05-26 21:36:22.523,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:22.614,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:22.633,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:22.648,0.366,0.244,0.915,120.0,-14.125
2026-05-26 21:36:22.714,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:22.726,0.366,0.244,0.915,120.0,-11.806
2026-05-26 21:36:22.741,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:22.814,0.366,0.244,0.915,120.0,-11.595
2026-05-26 21:36:22.835,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:22.851,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:22.916,0.366,0.244,0.915,120.0,-11.384
2026-05-26 21:36:22.927,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:23.020,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:23.031,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:23.043,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:23.120,0.366,0.244,0.915,120.0,-13.282
2026-05-26 21:36:23.131,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:23.142,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:23.245,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:23.271,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:23.286,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:23.327,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:23.349,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:23.365,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:23.451,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:23.473,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:23.489,0.366,0.244,0.915,120.0,-13.282
2026-05-26 21:36:23.564,0.366,0.244,0.915,120.0,-14.336
2026-05-26 21:36:23.582,0.366,0.244,0.915,120.0,-14.547
2026-05-26 21:36:23.597,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:23.654,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:23.674,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:23.759,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:23.784,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:23.800,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:23.861,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:23.878,0.366,0.244,0.915,120.0,-13.282
2026-05-26 21:36:23.894,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:23.962,0.366,0.244,0.915,120.0,-11.806
2026-05-26 21:36:23.973,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:23.988,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:24.061,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:24.080,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:24.096,0.366,0.244,0.915,120.0,-13.493
2026-05-26 21:36:24.179,0.366,0.244,0.915,120.0,-13.914
2026-05-26 21:36:24.190,0.366,0.244,0.915,120.0,-14.125
2026-05-26 21:36:24.206,0.366,0.244,0.915,120.0,-13.704
2026-05-26 21:36:24.279,0.366,0.244,0.915,120.0,-13.493
2026-05-26 21:36:24.300,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:24.316,0.366,0.244,0.915,120.0,-13.704
2026-05-26 21:36:24.386,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:24.410,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:24.510,0.366,0.244,0.915,120.0,-11.806
2026-05-26 21:36:24.535,0.366,0.244,0.915,120.0,-11.806
2026-05-26 21:36:24.550,0.366,0.244,0.915,120.0,-11.806
2026-05-26 21:36:24.595,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:24.613,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:24.629,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:24.695,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:24.706,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:24.722,0.366,0.244,0.915,120.0,-13.493
2026-05-26 21:36:24.825,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:24.846,0.366,0.244,0.915,120.0,-11.595
2026-05-26 21:36:24.861,0.366,0.244,0.915,120.0,-11.806
2026-05-26 21:36:24.925,0.366,0.244,0.915,120.0,-11.806
2026-05-26 21:36:24.938,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:24.954,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:25.030,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:25.048,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:25.063,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:25.135,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:25.157,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:25.236,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:25.250,0.366,0.244,0.915,120.0,-13.704
2026-05-26 21:36:25.266,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:25.339,0.366,0.244,0.915,120.0,-13.493
2026-05-26 21:36:25.362,0.366,0.244,0.915,120.0,-13.282
2026-05-26 21:36:25.377,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:25.453,0.366,0.244,0.915,120.0,-13.282
2026-05-26 21:36:25.470,0.366,0.244,0.915,120.0,-13.493
2026-05-26 21:36:25.485,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:25.553,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:25.564,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:25.579,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:25.659,0.366,0.244,0.915,120.0,-11.806
2026-05-26 21:36:25.673,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:25.688,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:25.761,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:25.781,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:25.797,0.366,0.244,0.915,120.0,-13.914
2026-05-26 21:36:25.860,0.366,0.244,0.915,120.0,-13.704
2026-05-26 21:36:25.876,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:25.960,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:25.984,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:26.000,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:26.085,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:26.110,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:26.126,0.366,0.244,0.915,120.0,-13.282
2026-05-26 21:36:26.185,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:26.204,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:26.220,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:26.286,0.366,0.244,0.915,120.0,-10.33
2026-05-26 21:36:26.297,0.366,0.244,0.915,120.0,-10.541
2026-05-26 21:36:26.313,0.366,0.244,0.915,120.0,-11.595
2026-05-26 21:36:26.389,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:26.407,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:26.423,0.366,0.244,0.915,120.0,-11.595
2026-05-26 21:36:26.489,0.366,0.244,0.915,120.0,-11.595
2026-05-26 21:36:26.502,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:26.516,0.366,0.244,0.915,120.0,-11.595
2026-05-26 21:36:26.597,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:26.610,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:26.701,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:26.718,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:26.734,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:26.801,0.366,0.244,0.915,120.0,-13.282
2026-05-26 21:36:26.827,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:26.843,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:26.901,0.366,0.244,0.915,120.0,-14.125
2026-05-26 21:36:26.921,0.366,0.244,0.915,120.0,-13.914
2026-05-26 21:36:26.936,0.366,0.244,0.915,120.0,-13.914
2026-05-26 21:36:27.026,0.366,0.244,0.915,120.0,-14.336
2026-05-26 21:36:27.045,0.366,0.244,0.915,120.0,-13.914
2026-05-26 21:36:27.060,0.366,0.244,0.915,120.0,-13.282
2026-05-26 21:36:27.133,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:27.152,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:27.169,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:27.233,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:27.245,0.366,0.244,0.915,120.0,-13.493
2026-05-26 21:36:27.261,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:27.337,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:27.355,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:27.436,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:27.449,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:27.465,0.366,0.244,0.915,120.0,-12.439
2026-05-26 21:36:27.541,0.366,0.244,0.915,120.0,-11.806
2026-05-26 21:36:27.560,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:27.576,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:27.668,0.366,0.244,0.915,120.0,-11.595
2026-05-26 21:36:27.686,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:27.701,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:27.766,0.366,0.244,0.915,120.0,-13.704
2026-05-26 21:36:27.779,0.366,0.244,0.915,120.0,-14.336
2026-05-26 21:36:27.795,0.366,0.244,0.915,120.0,-13.493
2026-05-26 21:36:27.869,0.366,0.244,0.915,120.0,-10.33
2026-05-26 21:36:27.889,0.366,0.244,0.915,120.0,-11.384
2026-05-26 21:36:27.904,0.366,0.244,0.915,120.0,-11.384
2026-05-26 21:36:27.973,0.366,0.244,0.915,120.0,-11.595
2026-05-26 21:36:27.998,0.366,0.244,0.915,120.0,-10.963
2026-05-26 21:36:28.013,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:28.082,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:28.106,0.366,0.244,0.915,120.0,-13.071
2026-05-26 21:36:28.181,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:28.201,0.366,0.244,0.915,120.0,-11.384
2026-05-26 21:36:28.216,0.366,0.244,0.915,120.0,-10.752
2026-05-26 21:36:28.281,0.366,0.244,0.915,120.0,-11.174
2026-05-26 21:36:28.293,0.366,0.244,0.915,120.0,-11.384
2026-05-26 21:36:28.309,0.366,0.244,0.915,120.0,-11.384
2026-05-26 21:36:28.386,0.366,0.244,0.915,120.0,-11.806
2026-05-26 21:36:28.402,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:28.418,0.366,0.244,0.915,120.0,-12.649
2026-05-26 21:36:28.486,0.366,0.244,0.915,120.0,-13.493
2026-05-26 21:36:28.510,0.366,0.244,0.915,120.0,-13.493
